"DateTime","Positive reviews","Negative reviews"
"2016-06-27 00:00:00",657,-80
"2016-06-28 00:00:00",460,-85
"2016-06-29 00:00:00",577,-70
"2016-06-30 00:00:00",514,-67
"2016-07-01 00:00:00",508,-81
"2016-07-02 00:00:00",523,-58
"2016-07-03 00:00:00",561,-66
"2016-07-04 00:00:00",525,-84
"2016-07-05 00:00:00",525,-66
"2016-07-06 00:00:00",473,-47
"2016-07-07 00:00:00",367,-53
"2016-07-08 00:00:00",395,-54
"2016-07-09 00:00:00",409,-43
"2016-07-10 00:00:00",348,-59
"2016-07-11 00:00:00",389,-55
"2016-07-12 00:00:00",343,-58
"2016-07-13 00:00:00",403,-38
"2016-07-14 00:00:00",339,-59
"2016-07-15 00:00:00",368,-44
"2016-07-16 00:00:00",353,-49
"2016-07-17 00:00:00",374,-32
"2016-07-18 00:00:00",353,-59
"2016-07-19 00:00:00",290,-56
"2016-07-20 00:00:00",336,-64
"2016-07-21 00:00:00",322,-53
"2016-07-22 00:00:00",287,-37
"2016-07-23 00:00:00",316,-47
"2016-07-24 00:00:00",331,-61
"2016-07-25 00:00:00",260,-41
"2016-07-26 00:00:00",328,-47
"2016-07-27 00:00:00",326,-52
"2016-07-28 00:00:00",360,-54
"2016-07-29 00:00:00",362,-80
"2016-07-30 00:00:00",337,-52
"2016-07-31 00:00:00",348,-52
"2016-08-01 00:00:00",330,-89
"2016-08-02 00:00:00",292,-48
"2016-08-03 00:00:00",286,-43
"2016-08-04 00:00:00",308,-56
"2016-08-05 00:00:00",281,-52
"2016-08-06 00:00:00",264,-38
"2016-08-07 00:00:00",319,-32
"2016-08-08 00:00:00",276,-75
"2016-08-09 00:00:00",253,-39
"2016-08-10 00:00:00",262,-61
"2016-08-11 00:00:00",258,-39
"2016-08-12 00:00:00",329,-49
"2016-08-13 00:00:00",353,-66
"2016-08-14 00:00:00",334,-60
"2016-08-15 00:00:00",318,-40
"2016-08-16 00:00:00",314,-64
"2016-08-17 00:00:00",320,-38
"2016-08-18 00:00:00",301,-74
"2016-08-19 00:00:00",271,-37
"2016-08-20 00:00:00",347,-48
"2016-08-21 00:00:00",286,-29
"2016-08-22 00:00:00",322,-48
"2016-08-23 00:00:00",301,-39
"2016-08-24 00:00:00",379,-46
"2016-08-25 00:00:00",320,-47
"2016-08-26 00:00:00",384,-50
"2016-08-27 00:00:00",339,-43
"2016-08-28 00:00:00",311,-58
"2016-08-29 00:00:00",323,-46
"2016-08-30 00:00:00",289,-52
"2016-08-31 00:00:00",328,-65
"2016-09-01 00:00:00",345,-48
"2016-09-02 00:00:00",348,-52
"2016-09-03 00:00:00",322,-36
"2016-09-04 00:00:00",353,-73
"2016-09-05 00:00:00",368,-66
"2016-09-06 00:00:00",299,-30
"2016-09-07 00:00:00",275,-53
"2016-09-08 00:00:00",308,-56
"2016-09-09 00:00:00",267,-28
"2016-09-10 00:00:00",286,-29
"2016-09-11 00:00:00",284,-61
"2016-09-12 00:00:00",336,-47
"2016-09-13 00:00:00",305,-34
"2016-09-14 00:00:00",250,-48
"2016-09-15 00:00:00",,
